Группа;День недели;Дата;Время;Дисциплина;Вид нагрузки кафедры;Преподаватель;Аудитория
МЕН-Б-3-Д-2024-1;Вт;03.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
МЕН-Б-3-Д-2024-2;Вт;03.12.2024;12.10 - 13.40;Информатика и основы информационно-коммуникационных технологий (1 подгруппа);Лабораторная работа;Куган Светлана Фёдоровна;212
МЕН-Б-3-Д-2024-2;Вт;03.12.2024;13.50 - 15.20;Традиционные ценности: основа российского общества;Лекция;Саболевский Илья Русланович;315
МЕН-Б-3-Д-2024-2;Вт;03.12.2024;15.30 - 17.00;Теория менеджмента;Практическое занятие;Нарвойш Юлия Александровна;156
МЕН-Б-3-Д-2024-2;Вт;03.12.2024;17.10 - 18.40;Цифровые трансформации в управлении и экономике;Лекция;Тарасевич Вадим Львович;315
МЕН-Б-3-Д-2024-2;Вт;03.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Шахматы и шашки (СМГ));Практическое занятие;Данилевич Наталья Валерьевна;209
МЕН-Б-3-Д-2024-2;Вт;03.12.2024;18.50 - 20.20;Элективные дисциплины по физической культуре и спорту (Силовые виды спорта);Практическое занятие;Омелюсик Василий Андреевич;148 Спортивный зал
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;08.30 - 10.00;Элективные дисциплины по физической культуре и спорту (Ритмическая гимнастика);Практическое занятие;Веслова Анастасия Владимировна;148 Спортивный зал
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;10.10 - 11.40;Традиционные ценности: основа российского общества;Лекция;Саболевский Илья Русланович;312
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;12.10 - 13.40;Безопасность жизнедеятельности;Лекция;Шлимаков Максим Сергеевич;312
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;13.50 - 15.20;Иностранный язык (2 подгруппа);Практическое занятие;Максименко Анна Маратовна;156
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;13.50 - 15.20;Иностранный язык (1 подгруппа);Практическое занятие;Бондарук Екатерина Михайловна;154
ПСИ-Б-04-Д-2024-1;Вт;03.12.2024;13.50 - 15.20;Иностранный язык (3 подгруппа);Практическое занятие;Лопацкая Юлия Алексеевна;101
